date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:30:11	1961/1961	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/assets/js/vendors/scrollup.js	D:/saniksolution/lux/lux/maysalimo.com/assets/js/vendors/scrollup.js	(from https://maysalimo.com/)
12:30:11	243727/243727	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/assets/js/vendors/swiper-bundle.min.js	D:/saniksolution/lux/lux/maysalimo.com/assets/js/vendors/swiper-bundle.min.js	(from https://maysalimo.com/)
12:30:11	31322/31322	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/assets/js/vendors/noUISlider.js	D:/saniksolution/lux/lux/maysalimo.com/assets/js/vendors/noUISlider.js	(from https://maysalimo.com/)
12:30:11	1075/1075	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/assets/js/vendors/slider.js	D:/saniksolution/lux/lux/maysalimo.com/assets/js/vendors/slider.js	(from https://maysalimo.com/)
12:30:12	1072/1072	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/assets/js/vendors/counterup.js	D:/saniksolution/lux/lux/maysalimo.com/assets/js/vendors/counterup.js	(from https://maysalimo.com/)
12:30:12	5339/5339	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/assets/js/vendors/jquery.countdown.min.js	D:/saniksolution/lux/lux/maysalimo.com/assets/js/vendors/jquery.countdown.min.js	(from https://maysalimo.com/)
12:30:12	58870/58870	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/assets/js/vendors/jquery.elevatezoom.js	D:/saniksolution/lux/lux/maysalimo.com/assets/js/vendors/jquery.elevatezoom.js	(from https://maysalimo.com/)
12:30:12	43177/43177	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/assets/js/vendors/slick.js	D:/saniksolution/lux/lux/maysalimo.com/assets/js/vendors/slick.js	(from https://maysalimo.com/)
12:30:13	253672/253672	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/assets/js/vendors/jquery-ui.js	D:/saniksolution/lux/lux/maysalimo.com/assets/js/vendors/jquery-ui.js	(from https://maysalimo.com/)
12:30:13	12129/12129	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/assets/js/vendors/jquery.timepicker.min.js	D:/saniksolution/lux/lux/maysalimo.com/assets/js/vendors/jquery.timepicker.min.js	(from https://maysalimo.com/)
12:30:13	0/0	---MCZ	302	error ('Found')	text/html	date:Wed,%2018%20Oct%202023%2006:27:15%20GMT	https://challenges.cloudflare.com/turnstile/v0/api.js	D:/saniksolution/lux/lux/challenges.cloudflare.com/turnstile/v0/api.52.delayed	(from https://maysalimo.com/)
12:30:13	34170/34170	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2018%20Oct%202023%2006:27:15%20GMT	https://challenges.cloudflare.com/turnstile/v0/b/7ff8d35b/api.js	D:/saniksolution/lux/lux/challenges.cloudflare.com/turnstile/v0/b/7ff8d35b/api.js	(from https://maysalimo.com/)
12:30:15	19920/19920	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/assets/js/main.js?v=1.0.0	D:/saniksolution/lux/lux/maysalimo.com/assets/js/maine209.js	(from https://maysalimo.com/)
12:30:16	6379/6379	---M-Z	200	added ('OK')	application/javascript	etag:%221D9F6FAE5B15000%22	https://book.mylimobiz.com/v4/widgets/widget-loader.js	D:/saniksolution/lux/lux/book.mylimobiz.com/v4/widgets/widget-loader.js	(from https://maysalimo.com/)
12:30:16	932/932	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/assets/js/form.js?v=1.0.0	D:/saniksolution/lux/lux/maysalimo.com/assets/js/forme209.js	(from https://maysalimo.com/)
